#{"t_start": 1765811645.785797, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,0.114705
0.0,250,0.212622
0.0,250,0.309326
0.0,250,0.40724
0.0,250,0.500742
0.0,250,0.596976
0.0,250,0.690815
0.0,250,0.813369
0.0,250,3.299619
0.0,250,3.397401
0.0,250,3.495099
0.0,250,3.621413
0.0,250,3.718245
0.226,215,3.803679
0.0,250,3.899222
0.0,250,3.991946
0.0,250,6.602943
0.0,250,6.699965
0.0,250,6.792396
0.0,250,6.886337
0.0,250,7.012212
0.0,250,7.1074
0.0,250,7.206091
0.0,250,7.300748
0.0,250,9.895473
0.0,250,9.990337
0.0,250,10.083843
0.0,250,10.176244
0.0,250,10.26966
0.0,250,10.362468
0.0,250,10.456694
0.0,250,10.580487
0.0,250,13.224914
0.0,250,13.321082
0.0,250,13.414899
0.0,250,13.509376
0.0,250,13.603171
0.0,250,13.696887
0.0,250,13.817877
0.7084,81,13.849766
0.0,250,13.946685
0.0,250,16.340516
0.0,250,16.433479
0.0,250,16.527318
0.0,250,16.621211
0.0,250,16.712933
0.0,250,16.805076
0.0,250,16.896904
0.0,250,16.988371
0.0,250,19.280409
0.0,250,19.373695
0.0,250,19.466454
0.0,250,19.559488
0.0,250,19.651634
0.0,250,19.743147
0.0,250,19.83488
0.0,250,19.926634
0.3736,174,19.990838
0.0,250,22.290338
0.0,250,22.382757
0.0,250,22.475015
0.0,250,22.590078
0.0,250,22.683185
0.0,250,22.77528
0.0,250,22.867233
0.0,250,22.958809
0.0,250,25.251708
0.0,250,25.344595
0.0,250,25.436983
0.0,250,25.531908
0.0,250,25.624427
0.0,250,25.716728
0.0,250,25.808681
0.0,250,25.900204
0.0,250,28.185293
0.0,250,28.287715
0.0,250,28.3809
0.0,250,28.473778
0.0,250,28.567116
0.0,250,28.65951
0.0,250,28.751184
0.0,250,28.84351
0.0,250,28.935356
0.0,250,31.218521
0.0,250,31.310946
0.0,250,31.403192
0.0,250,31.495152
0.0,250,31.588075
0.0,250,31.680863
0.0,250,31.772376
0.0,250,31.863876
0.0,250,34.166924
0.0,250,34.259105
0.0,250,34.351014
0.0,250,34.443473
0.0,250,34.536409
0.0,250,34.62825
0.0,250,34.720252
0.0,250,34.812459
0.0,250,37.095273
0.0,250,37.187634
0.0,250,37.280277
0.0,250,37.372352
0.0,250,37.465493
0.0,250,37.55932
0.0,250,37.651798
0.0,250,37.743852
