#{"t_start": 1765813717.3128908, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,0.10593
0.0,250,0.201528
0.0,250,0.322227
0.0,250,0.416596
0.0,250,0.511328
0.0,250,0.60633
0.0,250,0.70112
0.0,250,0.795539
0.0,250,3.354683
0.0,250,3.450414
0.0,250,3.545793
0.0,250,3.641065
0.0,250,3.735931
0.0,250,3.831462
0.0,250,3.926711
0.0,250,4.024276
0.0,250,6.517326
0.2152,218,6.600116
0.0,250,6.694706
0.0,250,6.789543
0.5932,113,6.832344
0.0,250,6.939982
0.0,250,7.046111
0.0,250,7.142002
0.0,250,7.235925
0.0,250,9.772672
0.2116,219,9.856101
0.0,250,9.951638
0.0,250,10.047548
0.6832,88,10.081637
0.0,250,10.177032
0.0,250,10.272123
0.1756,229,10.358459
0.0,250,10.452779
0.0,250,12.967712
0.0,250,13.062603
0.4996,139,13.115972
0.0,250,13.212862
0.8524,41,13.228917
0.0,250,13.323717
0.0,250,13.418631
0.0,250,13.513622
0.0,250,13.608363
0.0,250,16.141243
0.0,250,16.236666
0.0,250,16.331452
0.0,250,16.426843
0.856,40,16.442259
0.0,250,16.536494
0.0,250,16.631482
0.0,250,16.725708
0.3376,184,16.795502
0.0,250,16.890306
0.0,250,19.417574
0.7444,71,19.444918
0.6256,104,19.484362
0.0,250,19.578398
0.0,250,19.671903
0.0,250,19.766452
0.0,250,19.861125
0.0,250,19.957018
0.0,250,20.051784
0.3016,194,22.611674
0.0,250,22.707926
0.0,250,22.802473
0.8596,39,22.817808
0.0,250,22.912275
0.0,250,23.009129
0.0,250,23.104026
0.0,250,23.199058
0.5032,138,23.251432
0.2728,202,23.328098
0.2512,208,25.858831
0.2692,203,25.936194
0.0,250,26.032445
0.0,250,26.127095
0.0,250,26.221788
0.0,250,26.316217
0.8164,51,26.335711
0.0,250,26.430205
0.3484,181,26.49886
0.0,250,26.593267
0.2656,204,29.132555
0.7012,83,29.164102
0.7552,68,29.190332
0.4276,159,29.25046
0.3556,179,29.31824
0.5536,124,29.365084
0.7696,64,29.389473
0.7408,72,29.416733
0.4636,149,29.473117
0.5104,136,29.524317
0.7372,73,29.552114
0.6652,93,29.587405
0.6724,91,29.621979
0.4888,142,29.676026
0.55,125,29.723086
0.676,90,29.756895
0.1216,244,32.279601
0.9172,23,32.288567
0.6328,102,32.327472
0.4132,163,32.389568
0.6724,91,32.424095
0.892,30,32.43542
0.5968,112,32.478253
0.784,60,32.501008
0.1576,234,32.588853
0.4672,148,32.645574
0.7588,67,32.671463
0.3628,177,32.738096
0.8668,37,32.752201
0.7444,71,32.779112
0.856,40,32.794338
0.7732,63,32.818215
0.7948,57,32.839523
0.0,250,32.933958
0.7192,78,32.96572
0.91,25,32.975425
0.7588,67,33.00063
0.676,90,33.034592
0.8344,46,35.472313
0.838,45,35.490288
0.8488,42,35.506663
0.7948,57,35.528509
0.8164,51,35.547856
0.9388,17,35.55435
0.6292,103,35.593222
0.8524,41,35.608975
0.7372,73,35.636652
0.8596,39,35.651442
0.9136,24,35.660683
0.6436,99,35.697894
0.9208,22,35.706368
0.8344,46,35.724038
0.7264,76,35.752793
0.7984,56,35.774091
0.7012,83,35.805171
0.8776,34,35.818121
0.4132,163,35.879837
0.784,60,35.902231
0.7624,66,35.927413
0.8452,43,35.944484
0.8272,48,35.963139
0.6544,96,36.000031
0.8488,42,36.015921
0.874,35,36.029206
0.8704,36,36.042934
0.9136,24,36.052174
0.9244,21,36.060177
0.9028,27,36.070403
0.8164,51,36.089811
0.7372,73,36.117645
0.6652,93,36.15298
0.8416,44,36.169524
0.568,120,36.215124
0.6688,92,38.712891
0.874,35,38.726557
0.8884,31,38.738563
0.9208,22,38.747301
0.766,65,38.772048
0.928,20,38.779899
0.7948,57,38.801454
0.8992,28,38.812264
0.874,35,38.82544
0.7624,66,38.850671
0.9424,16,38.85682
0.8524,41,38.872424
0.8956,29,38.883548
0.7516,69,38.9099
0.8668,37,38.924196
0.8236,49,38.943997
0.8488,42,38.960407
0.9172,23,38.969505
0.8596,39,38.984317
0.8344,46,39.001941
0.8272,48,39.020096
0.8596,39,39.034922
0.7948,57,39.056782
0.8524,41,39.072364
0.8848,32,39.084592
0.8416,44,39.101306
0.9604,11,39.105539
0.9136,24,39.11476
0.9208,22,39.123084
0.8236,49,39.1415
0.964,10,39.145369
0.9208,22,39.153917
0.9208,22,39.162467
0.9028,27,39.172713
0.892,30,39.184118
0.7984,56,39.205246
0.9136,24,39.214301
0.8884,31,39.226438
