#{"t_start": 1765812232.889657, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,0.103879
0.0,250,0.198545
0.0,250,0.296215
0.478,145,0.351749
0.0,250,0.446634
0.4708,147,0.502826
0.0,250,0.596638
0.0,250,0.690758
0.0,250,0.787367
0.0,250,3.110468
0.0,250,3.205336
0.0,250,3.299248
0.0,250,3.393678
0.0,250,3.489868
0.0,250,3.583323
0.4492,153,3.641124
0.0,250,3.734103
0.4492,153,6.002539
0.0,250,6.097304
0.0,250,6.191466
0.0,250,6.286043
0.0,250,6.379655
0.0,250,6.474511
0.0,250,6.569246
0.0,250,6.662609
0.0,250,6.756804
0.0,250,9.054849
0.0,250,9.149764
0.0,250,9.243434
0.0,250,9.337616
0.0,250,9.433165
0.0,250,9.527422
0.0,250,9.622194
0.0,250,9.715563
0.4204,161,12.536376
0.2836,199,12.611724
0.0,250,12.706726
0.0,250,12.801056
0.0,250,12.897128
0.0,250,12.992948
0.0,250,13.088496
0.0,250,13.182207
0.0,250,13.276756
0.0,250,15.657948
0.1324,241,15.749086
0.0,250,15.843404
0.4636,149,15.900022
0.0,250,15.994315
0.0,250,16.09053
0.0,250,16.185063
0.0,250,16.279741
0.118,245,18.656341
0.1432,238,18.7473
0.3088,192,18.821067
0.3016,194,18.894087
0.6976,84,18.925934
0.0,250,19.020244
0.0,250,19.114821
0.1,250,19.209785
0.7336,74,19.238143
0.0,250,19.332913
0.6472,98,19.370225
0.5248,132,21.817776
0.658,95,21.854279
0.2296,214,21.935567
0.7696,64,21.959829
0.0,250,22.055293
0.6472,98,22.093275
0.334,185,22.163171
0.0,250,22.257692
0.0,250,22.352247
0.3484,181,22.42188
0.3448,182,22.490813
0.0,250,22.585217
0.4384,156,24.945329
0.7984,56,24.966663
0.0,250,25.061303
0.7264,76,25.090276
0.7156,79,25.120279
0.0,250,25.215641
0.2548,207,25.293941
0.8668,37,25.307923
0.3556,179,25.375313
0.1216,244,25.467982
0.748,70,25.494471
0.3592,178,25.561645
0.8344,46,25.579057
0.4528,152,25.636516
0.568,120,27.990197
0.4528,152,28.048393
0.0,250,28.142901
0.0,250,28.237484
0.7624,66,28.26296
0.4708,147,28.319332
0.2512,208,28.398654
0.4096,164,28.462144
0.0,250,28.557281
0.0,250,28.651239
0.712,80,28.681972
