#{"t_start": 1765812538.959211, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,0.104891
0.0,250,0.202126
0.0,250,0.33043
0.0,250,0.432498
0.0,250,0.528594
0.0,250,0.624214
0.0,250,0.720457
0.0,250,0.816654
0.0,250,3.336372
0.0,250,3.439897
0.0,250,3.575138
0.1036,249,3.672792
0.0,250,3.769741
0.0,250,3.866158
0.0,250,3.965474
0.0,250,4.061557
0.0,250,6.845676
0.0,250,6.948213
0.0,250,7.050529
0.0,250,7.152433
0.0,250,7.255313
0.0,250,7.377436
0.0,250,7.504305
0.0,250,7.615107
0.0,250,10.197719
0.0,250,10.292422
0.0,250,10.388838
0.0,250,10.483253
0.0,250,10.57778
0.0,250,10.672429
0.0,250,10.766475
0.0,250,10.860966
0.0,250,13.172036
0.0,250,13.267139
0.0,250,13.362543
0.0,250,13.456955
0.0,250,13.551467
0.0,250,13.645127
0.0,250,13.739344
0.0,250,13.833585
0.0,250,16.17464
0.0,250,16.269922
0.0,250,16.366177
0.0,250,16.459767
0.0,250,16.553037
0.0,250,16.64669
0.0,250,16.740283
0.0,250,16.833769
0.0,250,16.926963
0.0,250,19.252146
0.0,250,19.347048
0.0,250,19.441216
0.0,250,19.534729
0.0,250,19.631206
0.0,250,19.724806
0.0,250,19.818444
0.0,250,19.911759
0.0,250,22.268422
0.0,250,22.365155
0.0,250,22.459889
0.0,250,22.562364
0.0,250,22.666651
0.0,250,22.769775
0.0,250,22.875516
0.0,250,22.969779
0.0,250,25.472375
0.0,250,25.566803
0.0,250,25.659957
0.0,250,25.752676
0.0,250,25.845721
0.0,250,25.938816
0.0,250,26.030905
0.0,250,26.123414
0.0,250,28.424537
0.0,250,28.517778
0.0,250,28.610453
0.0,250,28.704504
0.0,250,28.796977
0.0,250,28.890208
0.0,250,28.982887
0.0,250,29.07534
0.0,250,31.722198
0.0,250,31.816745
0.0,250,31.912387
0.0,250,32.006186
0.0,250,32.099413
0.0,250,32.192412
0.0,250,32.2863
0.0,250,32.380575
0.0,250,32.473747
0.0,250,34.970115
0.0,250,35.075019
0.0,250,35.174681
0.0,250,35.268803
0.0,250,35.362722
0.0,250,35.455424
0.0,250,35.548836
0.0,250,35.642072
0.0,250,38.018206
0.0,250,38.112131
0.0,250,38.205465
0.0,250,38.298695
0.0,250,38.392246
0.0,250,38.484658
0.0,250,38.577826
0.0,250,38.670446
0.0,250,41.031767
0.0,250,41.12534
0.0,250,41.217837
0.0,250,41.310264
0.0,250,41.405815
0.0,250,41.498607
0.0,250,41.590851
0.0,250,41.684129
0.0,250,44.092128
0.0,250,44.191944
0.0,250,44.29067
0.0,250,44.391279
0.0,250,44.492356
0.0,250,44.597559
0.0,250,44.699849
0.0,250,44.805267
0.0,250,47.496089
0.0,250,47.589891
0.0,250,47.683217
0.0,250,47.790211
0.0,250,47.889286
0.0,250,47.983551
0.0,250,48.077391
0.0,250,48.171338
0.0,250,48.265298
0.0,250,50.84295
0.0,250,50.936678
0.0,250,51.031106
0.0,250,51.12436
0.0,250,51.217804
0.0,250,51.335723
0.0,250,51.430859
0.0,250,51.524334
0.0,250,53.923982
0.0,250,54.01876
0.0,250,54.149566
0.0,250,54.298519
0.0,250,54.402999
0.0,250,54.503336
0.0,250,54.608502
0.0,250,54.713305
0.0,250,57.288895
0.0,250,57.38461
0.0,250,57.477838
0.0,250,57.570998
0.0,250,57.664137
0.0,250,57.756959
0.0,250,57.857608
0.0,250,57.956181
0.0,250,60.325443
0.0,250,60.43398
0.0,250,60.53029
0.0,250,60.625134
0.0,250,60.718137
0.0,250,60.840769
0.0,250,60.938826
0.0,250,61.035674
0.0,250,63.533763
0.0,250,63.63295
0.0,250,63.727829
0.0,250,63.820319
0.0,250,63.913464
0.0,250,64.00702
0.0,250,64.100379
0.0,250,64.192797
0.0,250,64.286141
0.0,250,66.597532
0.0,250,66.690907
0.0,250,66.784121
0.0,250,66.876528
0.0,250,66.969716
0.0,250,67.062927
0.0,250,67.155445
0.0,250,67.248251
0.0,250,69.547955
0.0,250,69.640861
0.0,250,69.733848
0.0,250,69.827265
0.0,250,69.920378
0.0,250,70.013493
0.0,250,70.106658
0.0,250,70.199736
0.0,250,72.471072
0.0,250,72.564345
0.0,250,72.657545
0.0,250,72.750338
0.0,250,72.843004
0.0,250,72.93593
0.0,250,73.028665
0.0,250,73.122073
0.0,250,75.411106
0.0,250,75.505254
0.0,250,75.598798
0.0,250,75.69245
0.0,250,75.785784
0.0,250,75.878133
0.0,250,75.971271
0.0,250,76.065226
0.0,250,78.345466
0.0,250,78.440598
0.0,250,78.534267
0.0,250,78.627747
0.0,250,78.72072
0.0,250,78.813854
0.0,250,78.906566
0.0,250,78.999096
0.0,250,81.305734
0.0,250,81.401546
0.0,250,81.49513
0.0,250,81.588557
0.0,250,81.682715
0.0,250,81.775155
0.0,250,81.868244
0.0,250,81.960832
0.0,250,82.053985
0.0,250,84.330854
0.0,250,84.425421
0.0,250,84.518438
0.0,250,84.611538
0.0,250,84.705069
0.0,250,84.798086
0.0,250,84.892406
0.0,250,84.98533
0.0,250,87.276563
0.0,250,87.372013
0.0,250,87.466063
0.0,250,87.559059
0.0,250,87.652794
0.0,250,87.74633
0.0,250,87.838859
0.0,250,87.931902
0.0,250,90.205706
0.0,250,90.300191
0.0,250,90.395379
0.0,250,90.488582
0.0,250,90.582382
0.0,250,90.67611
0.0,250,90.769207
0.0,250,90.870774
0.0,250,93.175585
0.0,250,93.269825
0.0,250,93.365105
0.0,250,93.459127
0.0,250,93.552615
0.0,250,93.64564
0.0,250,93.738644
0.0,250,93.831908
0.0,250,96.109452
0.0,250,96.204382
0.0,250,96.298148
0.0,250,96.393244
0.0,250,96.486617
0.0,250,96.580133
0.0,250,96.673992
0.0,250,96.767393
0.0,250,96.861325
0.0,250,99.152363
0.0,250,99.247312
0.0,250,99.342256
0.0,250,99.436213
0.0,250,99.530455
0.0,250,99.6251
0.0,250,99.719973
0.0,250,99.813906
0.0,250,102.099554
0.0,250,102.19414
0.0,250,102.287385
0.0,250,102.382745
0.0,250,102.47747
0.0,250,102.571164
0.0,250,102.664595
