#{"t_start": 1765851761.6883998, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0.406562,422,0.724789
0.0,640,0.947186
0.0,640,1.178484
0.0,640,3.645078
0.0,640,3.869803
0.0,640,4.121012
0.0,640,6.574333
0.0,640,6.794637
0.0,640,7.011045
0.0,640,9.261798
0.0,640,9.477001
0.0,640,9.695886
0.0,640,9.913965
0.0,640,12.175582
0.0,640,12.393636
0.0,640,12.606882
0.0,640,14.883855
0.0,640,15.10185
0.0,640,15.323297
0.0,640,17.587851
0.0,640,17.802642
0.0,640,18.020452
0.0,640,20.277702
0.0,640,20.495491
0.0,640,20.710481
0.0,640,22.967331
0.0,640,23.186747
0.0,640,23.404785
0.0,640,23.62415
0.0,640,25.887151
0.0,640,26.103112
0.0,640,26.319809
0.0,640,28.582375
0.0,640,28.796175
0.0,640,29.015497
0.0,640,31.289762
0.0,640,31.506472
0.0,640,31.72282
0.0,640,33.987547
0.0,640,34.204992
0.0,640,34.423673
0.325,480,34.584207
0.573906,303,36.732789
0.0,640,36.947867
0.0,640,37.161476
0.0,640,39.425372
0.0,640,39.642967
0.0,640,39.86428
0.0,640,40.081063
0.0,640,42.343006
0.0,640,42.558746
0.163281,595,42.759036
0.0,640,45.034601
0.0,640,45.24894
0.0,640,45.469323
0.0,640,47.828501
0.0,640,48.045973
0.0,640,48.260466
0.0,640,50.538768
0.0,640,50.757795
0.0,640,50.976949
0.0,640,53.255186
0.0,640,53.47625
0.0,640,53.689362
0.0,640,53.910661
0.0,640,56.177854
0.0,640,56.39514
0.0,640,56.60943
0.0,640,58.901055
0.0,640,59.120297
0.0,640,59.338142
0.0,640,61.626598
0.0,640,61.845399
0.0,640,62.056853
0.0,640,64.337309
0.0,640,64.555583
0.0,640,64.775369
0.0,640,67.057965
0.0,640,67.277733
0.0,640,67.497299
0.0,640,67.714086
0.0,640,69.992248
0.0,640,70.207412
0.0,640,70.426148
0.0,640,72.711881
0.0,640,72.933096
0.0,640,73.153809
0.0,640,75.457242
0.0,640,75.676273
0.0,640,75.889585
0.0,640,78.173757
0.490937,362,78.298572
0.0,640,78.516105
0.0,640,78.733907
0.0,640,81.057688
0.0,640,81.272902
0.0,640,81.491064
0.0,640,83.779122
0.0,640,83.999581
0.433281,403,84.136837
0.0,640,84.355119
0.0,640,86.641891
0.0,640,86.862509
0.0,640,87.082754
0.0,640,89.384127
0.0,640,89.604738
0.0,640,89.825985
0.0,640,92.124439
0.0,640,92.344283
0.0,640,92.564854
0.0,640,94.856735
0.0,640,95.078068
0.0,640,95.298952
0.0,640,97.59217
0.0,640,97.814738
0.0,640,98.031049
0.0,640,98.246174
0.0,640,100.53034
0.0,640,100.750297
0.0,640,100.972377
0.0,640,103.267477
0.0,640,103.487481
0.0,640,103.708562
0.46,384,105.939307
0.0,640,106.159529
0.0,640,106.377743
0.0,640,106.596085
0.0,640,108.885926
0.0,640,109.105064
0.0,640,109.325588
0.0,640,111.68305
0.0,640,111.905586
0.0,640,112.126845
0.0,640,114.416489
0.0,640,114.634241
0.0,640,114.855107
0.0,640,117.149441
0.0,640,117.367784
0.0,640,117.585914
0.0,640,119.868096
0.0,640,120.088631
0.0,640,120.312468
0.0,640,120.533153
0.317969,485,122.77198
0.0,640,122.99037
0.0,640,123.209274
0.0,640,125.498195
0.488125,364,125.621053
0.0,640,125.836947
0.0,640,126.058356
0.0,640,128.385031
0.0,640,128.607575
0.0,640,128.824469
0.0,640,131.11649
0.0,640,131.332343
0.0,640,131.546097
0.0,640,133.840091
0.0,640,134.057027
0.0,640,134.276696
0.0,640,136.595359
0.0,640,136.818323
0.0,640,137.03641
0.0,640,137.253648
0.0,640,139.540993
0.0,640,139.763175
0.0,640,139.986623
0.0,640,142.278846
0.0,640,142.498858
0.0,640,142.71618
0.0,640,145.005282
0.24625,536,145.191308
0.0,640,145.405807
0.0,640,147.74227
0.0,640,147.958755
0.0,640,148.176306
0.0,640,148.392789
0.0,640,150.689629
0.0,640,150.903291
0.0,640,151.121069
0.0,640,153.416685
0.0,640,153.630146
0.0,640,153.849992
0.0,640,156.134101
0.0,640,156.356313
0.0,640,156.574425
0.0,640,158.854944
0.0,640,159.072728
0.0,640,159.293149
0.0,640,161.581255
0.0,640,161.80309
0.0,640,162.019644
0.0,640,162.237509
0.0,640,164.564522
0.0,640,164.784908
0.0,640,165.002947
0.0,640,167.295463
0.0,640,167.513848
0.0,640,167.732068
0.0,640,170.025662
0.0,640,170.244324
0.0,640,170.46063
0.0,640,172.764861
0.0,640,172.985478
0.0,640,173.214056
0.0,640,175.52213
0.0,640,175.74222
0.0,640,175.964806
0.579531,299,176.066492
0.845313,110,176.103493
0.0,640,178.399086
0.0,640,178.617196
0.0,640,178.838318
0.0,640,181.505594
0.0,640,181.728927
0.0,640,182.001307
0.0,640,184.768436
0.0,640,185.010994
0.0,640,185.24291
0.714531,203,185.315927
0.0,640,188.075178
0.368594,449,188.246445
0.0,640,188.497215
0.0,640,188.725944
0.0,640,191.304614
0.0,640,191.519035
0.0,640,191.735158
0.0,640,194.396228
0.0,640,194.645094
0.0,640,194.950277
0.0,640,197.597468
0.0,640,197.853667
0.0,640,198.125449
0.0,640,201.298973
0.0,640,201.531584
0.0,640,201.750153
0.0,640,204.140973
0.0,640,204.363174
0.0,640,204.596572
0.0,640,204.878736
0.0,640,207.488437
0.0,640,207.706708
0.0,640,207.934935
0.296875,500,210.261829
0.0,640,210.476807
0.0,640,210.699379
0.0,640,213.041068
0.0,640,213.261637
0.0,640,213.479899
0.0,640,215.77192
0.0,640,215.989574
0.0,640,216.208121
0.0,640,216.42428
0.0,640,219.005111
