#{"t_start": 1765860938.688792, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0.0,640,0.247136
0.0,640,0.536121
0.0,640,0.788143
0.0,640,3.517211
0.0,640,3.749376
0.0,640,3.982185
0.0,640,6.819153
0.0,640,7.052558
0.0,640,7.28232
0.0,640,9.897915
0.0,640,10.132448
0.0,640,10.364409
0.0,640,12.927163
0.0,640,13.162282
0.0,640,13.390358
0.333438,474,13.565696
0.0,640,16.43967
0.332031,475,16.612743
0.0,640,16.850606
0.0,640,19.520623
0.0,640,19.755219
0.0,640,19.989368
0.3925,432,20.156428
0.0,640,22.927352
0.479687,370,23.064491
0.0,640,23.289981
0.0,640,25.790306
0.0,640,26.020577
0.0,640,26.252269
0.0,640,26.481595
0.0,640,29.102722
0.0,640,29.33855
0.118281,627,29.563632
0.0,640,32.138485
0.0,640,32.371197
0.0,640,32.600508
0.0,640,35.247491
0.0,640,35.480797
0.0,640,35.771466
0.704687,210,35.859102
0.0,640,38.646839
0.0,640,38.885561
0.0,640,39.118757
0.467031,379,41.54002
0.0,640,41.772977
0.0,640,42.007064
0.0,640,42.238177
0.330625,476,44.756261
0.0,640,44.99406
0.604844,281,45.104511
0.288438,506,45.291218
0.783438,154,45.347786
0.0,640,47.908676
0.348906,463,48.078122
0.364375,452,48.242568
0.102812,638,50.748555
0.0,640,50.983296
0.197031,571,51.208557
0.787656,151,51.267589
0.0,640,54.095745
0.0,640,54.336555
0.0,640,54.644428
0.0,640,54.921836
0.0,640,57.411392
0.0,640,57.639547
0.492344,361,57.784173
0.565469,309,57.8983
0.0,640,60.376211
0.42625,408,60.521386
0.0,640,60.750171
0.647031,251,60.840322
0.0,640,63.261279
0.71875,200,63.332649
0.0,640,63.562319
0.0,640,63.794847
0.427656,407,66.172633
0.602031,283,66.275973
0.566875,308,66.387321
0.312344,489,66.563221
0.0,640,66.793082
0.0,640,69.224594
0.139375,612,69.450378
0.0,640,69.682221
0.195625,572,72.107945
0.703281,211,72.184396
0.748281,179,72.266792
0.902969,69,72.291755
0.0,640,72.525334
0.475469,373,72.661809
0.0,640,75.094263
0.362969,453,75.257935
0.407969,421,75.410327
0.573906,303,75.520886
0.0,640,77.972484
0.0,640,78.204506
0.883281,83,78.234715
0.102812,638,78.464079
0.814375,132,78.511049
0.773594,161,78.56769
0.294062,502,80.932358
0.687812,222,81.012707
0.382656,439,81.173096
0.0,640,81.403481
0.665312,238,81.489672
0.734219,189,81.557009
0.130938,618,84.013016
0.791875,148,84.066724
0.17875,584,84.281294
0.0,640,84.509812
0.603438,282,86.801898
0.69625,216,86.880374
0.753906,175,86.942812
0.749688,178,87.008234
0.0,640,87.238411
0.0,640,87.469194
0.0,640,89.918297
0.725781,195,89.989208
0.935312,46,90.005898
0.0,640,90.235495
0.295469,501,90.41771
0.791875,148,92.656484
0.929688,50,92.675124
0.849531,107,92.714084
0.566875,308,92.825521
0.89875,72,92.852076
0.0,640,93.084179
0.0,640,93.314587
0.877656,87,93.345796
0.607656,279,95.669436
0.777813,158,95.727594
0.739844,185,95.795658
0.69625,216,95.87426
0.462812,382,96.012655
0.271563,518,96.202783
0.711719,205,96.276765
0.812969,133,96.324976
0.339062,470,98.703348
0.680781,227,98.787761
0.685,224,98.869077
0.0,640,99.09762
0.832656,119,99.140711
0.894531,75,99.167823
0.708906,207,99.242967
0.894531,75,99.270281
0.0,640,101.724556
0.495156,359,101.854452
0.939531,43,101.869907
0.91,64,101.892764
0.720156,199,101.962557
0.855156,103,101.999441
0.727187,194,102.070584
0.82,128,102.116544
0.535937,330,102.23763
0.87625,88,102.269221
0.915625,60,104.47657
0.0,640,104.708174
0.2575,528,104.899049
0.904375,68,104.923476
0.766563,166,104.982283
0.852344,105,105.019279
0.384062,438,105.175726
0.888906,79,107.427707
0.64,256,107.522474
0.632969,261,107.617386
0.67375,232,107.702217
