#{"t_start": 1765859058.4474711, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0.0,640,0.723547
0.0,640,1.472965
0.0,640,2.191952
0.0,640,5.207246
0.0,640,5.886726
0.0,640,6.564616
0.0,640,9.526614
0.0,640,10.192573
0.0,640,10.855374
0.0,640,13.823596
0.0,640,14.499472
0.0,640,15.186026
0.0,640,18.14056
0.0,640,18.797644
0.0,640,19.456147
0.0,640,20.117936
0.0,640,23.110708
0.0,640,23.796136
0.0,640,24.478415
0.0,640,27.407066
0.0,640,28.068993
0.150625,604,28.694879
0.0,640,31.664095
0.0,640,32.341346
0.55,320,32.681366
0.0,640,33.36938
0.0,640,36.314498
0.0,640,36.991099
0.0,640,37.664451
0.0,640,40.657996
0.0,640,41.373666
0.0,640,42.083892
0.0,640,45.053221
0.0,640,45.706286
0.0,640,46.366308
0.0,640,49.335878
0.220938,554,49.923802
0.0,640,50.604509
0.0,640,51.281606
0.0,640,54.239965
0.0,640,54.915856
0.0,640,55.599526
0.0,640,58.55366
0.0,640,59.297846
0.0,640,59.958548
0.0,640,62.910265
0.0,640,63.611524
0.0,640,64.296088
0.0,640,67.27093
0.0,640,67.943901
0.0,640,68.624409
0.0,640,71.570819
0.0,640,72.231531
0.0,640,72.886856
0.0,640,73.545985
0.0,640,76.536128
0.0,640,77.213911
0.0,640,77.887141
0.0,640,80.830585
0.654062,246,81.089318
0.0,640,81.74392
0.0,640,82.399684
0.0,640,85.39094
0.0,640,86.063363
0.0,640,86.735551
0.0,640,89.680886
0.0,640,90.345515
0.0,640,91.003706
0.0,640,93.998511
0.0,640,94.669736
0.0,640,95.350479
0.0,640,98.290186
0.0,640,98.958768
0.0,640,99.642311
0.0,640,102.648397
0.0,640,103.33343
0.0,640,104.014795
0.0,640,104.690253
0.0,640,107.646733
0.0,640,108.322466
0.0,640,109.006242
0.0,640,111.990004
0.0,640,112.67379
0.0,640,113.357016
0.0,640,116.309216
0.637188,258,116.583359
0.613281,275,116.876341
0.0,640,117.555413
0.0,640,120.614187
0.0,640,121.294715
0.0,640,121.9697
0.554219,317,122.308154
0.315156,487,125.098368
0.0,640,125.778993
0.0,640,126.462367
0.0,640,127.14544
0.0,640,130.140106
0.0,640,130.825097
0.0,640,131.515888
0.0,640,134.4564
0.0,640,135.117805
0.0,640,135.775466
0.0,640,138.73941
0.0,640,139.426967
0.0,640,140.113396
0.0,640,144.441822
