#{"t_start": 1765874473.93088, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,0.07211
0.0,250,0.105458
0.0,250,0.133007
0.0,250,0.158722
0.0,250,0.465994
0.0,250,0.764977
0.0,250,1.066037
0.0,250,1.364126
0.0,250,1.688772
0.0,250,1.995784
0.0,250,2.300688
0.6544,96,2.418321
0.0,250,2.731178
0.0,250,3.045973
0.0,250,3.348471
0.0,250,3.699938
0.0,250,4.015806
0.0,250,4.321954
0.0,250,4.631063
0.0,250,4.940339
0.0,250,5.257148
0.0,250,5.568732
0.0,250,5.878847
0.0,250,6.191104
0.0,250,6.508223
0.0,250,6.822675
0.0,250,7.13393
0.0,250,7.447074
0.0,250,7.765171
0.4492,153,7.962993
0.0,250,8.272928
0.0,250,8.593537
0.0,250,8.965299
0.0,250,9.282378
0.0,250,9.599082
0.0,250,9.916198
0.0,250,10.244612
0.0,250,10.56592
0.0,250,10.880208
0.0,250,11.205305
0.0,250,11.602128
0.0,250,11.974483
0.0,250,12.359575
0.0,250,12.765423
0.0,250,13.208032
0.0,250,13.55755
0.0,250,13.905729
0.0,250,14.277438
0.0,250,14.72626
0.0,250,15.063181
0.0,250,15.391745
0.0,250,15.720736
0.0,250,16.053378
0.0,250,16.383541
0.0,250,16.721861
0.0,250,17.060965
0.0,250,17.407278
0.0,250,17.746737
0.0,250,18.083162
0.0,250,18.45565
0.3376,184,18.721438
0.0,250,19.058751
0.0,250,19.427012
0.0,250,19.829953
0.0,250,20.308606
0.0,250,20.643255
0.0,250,21.000575
0.0,250,21.383021
0.0,250,21.797875
0.0,250,22.193376
0.0,250,22.562516
0.0,250,22.898896
0.0,250,23.301766
0.0,250,23.698305
0.0,250,24.041539
0.0,250,24.378247
0.0,250,24.79335
0.0,250,25.132267
0.0,250,25.473387
0.0,250,25.813643
0.0,250,26.168281
0.0,250,26.507446
0.0,250,26.850185
0.0,250,27.188525
0.0,250,27.542032
0.0,250,27.882181
0.0,250,28.222736
0.0,250,28.564721
0.0,250,28.920182
0.0,250,29.258366
0.0,250,29.604196
0.0,250,29.943115
0.0,250,30.294993
0.0,250,30.63615
0.0,250,30.982745
0.0,250,31.321478
0.0,250,31.682783
0.0,250,32.025481
0.0,250,32.370666
0.0,250,32.71293
0.0,250,33.122999
0.0,250,33.46324
0.0,250,33.808107
0.0,250,34.14674
0.0,250,34.500399
0.0,250,34.841091
0.0,250,35.184868
0.0,250,35.525614
0.0,250,35.880679
0.0,250,36.220352
0.0,250,36.562027
0.0,250,36.901015
0.0,250,37.253471
0.0,250,37.597636
0.0,250,37.941044
0.0,250,38.282973
0.0,250,38.698835
0.2512,208,38.983999
0.0,250,39.323066
0.0,250,39.668712
0.0,250,40.020468
0.0,250,40.365304
0.0,250,40.705957
0.0,250,41.05438
0.0,250,41.404557
0.0,250,41.749097
0.0,250,42.090195
0.0,250,42.432762
0.0,250,42.787132
0.0,250,43.130456
0.0,250,43.469664
0.0,250,43.814392
0.0,250,44.162888
0.0,250,44.5236
0.0,250,44.86415
0.0,250,45.206641
0.0,250,45.561297
0.0,250,45.90536
0.0,250,46.247801
0.0,250,46.595124
0.0,250,47.004698
0.0,250,47.349309
0.0,250,47.687708
0.0,250,48.030135
0.0,250,48.378265
0.0,250,48.724739
0.0,250,49.060771
0.0,250,49.402159
0.0,250,49.75341
0.0,250,50.095814
0.0,250,50.433432
0.0,250,50.776967
0.0,250,51.134883
0.0,250,51.476785
0.0,250,51.817225
0.0,250,52.160972
0.0,250,52.507738
0.0,250,52.852095
0.0,250,53.190647
0.0,250,53.534767
0.0,250,53.943729
0.0,250,54.311354
0.0,250,54.656302
0.0,250,54.999866
0.0,250,55.350274
0.0,250,55.697047
0.0,250,56.037567
0.0,250,56.378766
0.0,250,56.727158
0.0,250,57.068858
0.0,250,57.408321
0.0,250,57.752297
0.0,250,58.102299
0.0,250,58.443655
0.0,250,58.780794
0.0,250,59.124149
0.0,250,59.529034
0.0,250,59.873906
0.0,250,60.212791
0.0,250,60.557663
0.0,250,60.910711
0.0,250,61.256141
0.0,250,61.595505
0.0,250,61.9403
0.0,250,62.288361
0.0,250,62.634602
0.0,250,62.978416
0.0,250,63.322982
0.0,250,63.713595
0.0,250,64.058693
0.0,250,64.394614
0.0,250,64.741741
0.0,250,65.093004
0.0,250,65.437473
0.0,250,65.778294
0.0,250,66.122451
0.0,250,66.529031
0.0,250,66.872733
0.0,250,67.211396
0.0,250,67.557238
0.0,250,67.907647
0.0,250,68.252187
0.0,250,68.593584
0.0,250,68.938622
0.0,250,69.285411
0.0,250,69.63021
0.0,250,69.967799
0.0,250,70.311051
0.0,250,70.662416
0.0,250,71.00938
0.0,250,71.345139
0.0,250,71.692305
0.0,250,72.039687
0.0,250,72.381917
0.0,250,72.723442
0.0,250,73.069583
0.0,250,73.471899
0.0,250,73.817218
0.0,250,74.157368
0.0,250,74.507146
0.0,250,74.861244
0.0,250,75.205869
0.0,250,75.546133
0.0,250,75.891213
0.0,250,76.239252
0.0,250,76.58417
0.0,250,76.926072
0.0,250,77.272056
0.0,250,77.626086
0.0,250,77.967466
0.0,250,78.307474
0.0,250,78.65604
0.0,250,79.0041
0.0,250,79.347504
0.0,250,79.688015
0.0,250,80.031887
0.0,250,80.380432
0.0,250,80.728794
0.0,250,81.07635
0.0,250,81.451019
0.0,250,81.915198
0.0,250,82.295955
0.0,250,82.684925
0.0,250,83.068505
0.0,250,83.451832
0.0,250,83.824025
0.0,250,84.19091
0.0,250,84.566605
0.0,250,84.955573
0.0,250,85.303732
0.0,250,85.642752
0.0,250,85.980197
0.0,250,86.32943
0.0,250,86.675413
0.0,250,87.014892
0.0,250,87.356289
0.0,250,87.7644
0.0,250,88.109206
0.0,250,88.445507
0.0,250,88.79014
0.0,250,89.13765
0.0,250,89.47887
0.0,250,89.816596
0.0,250,90.162849
0.0,250,90.507501
0.0,250,90.855526
0.0,250,91.199006
0.0,250,91.542786
0.0,250,91.892872
0.0,250,92.239232
0.0,250,92.579374
0.0,250,92.920674
0.0,250,93.273537
0.0,250,93.620079
0.0,250,93.959125
0.0,250,94.300839
0.0,250,94.656553
0.0,250,94.998038
0.0,250,95.334834
0.0,250,95.681151
