#{"t_start": 1765867252.341418, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0.0,640,0.638072
0.0,640,1.033685
0.0,640,1.921451
0.0,640,2.699011
0.0,640,3.487602
0.0,640,4.360432
0.0,640,5.182233
0.0,640,6.073878
0.0,640,6.888764
0.0,640,7.681536
0.0,640,8.565229
0.0,640,9.421821
0.0,640,10.265989
0.0,640,11.081557
0.0,640,11.882452
0.0,640,12.690919
0.0,640,13.531956
0.0,640,14.346141
0.0,640,15.155943
0.0,640,15.956689
0.0,640,16.789655
0.0,640,17.595449
0.0,640,18.425268
0.0,640,19.276034
0.0,640,20.115064
0.0,640,20.945023
0.0,640,21.77687
0.0,640,22.603235
0.0,640,23.440601
0.0,640,24.283085
0.0,640,25.233946
0.0,640,26.197066
0.0,640,27.232787
0.0,640,28.19605
0.0,640,29.121489
0.0,640,29.956814
0.0,640,30.811696
0.0,640,31.658085
0.0,640,32.500918
0.0,640,33.433889
0.0,640,34.451157
0.0,640,35.495041
0.0,640,36.413999
0.0,640,37.408195
0.0,640,38.426864
0.0,640,39.343188
0.0,640,40.33007
0.0,640,41.361521
0.0,640,42.333958
0.0,640,43.356379
0.0,640,44.350685
0.0,640,45.486196
0.0,640,46.439187
0.0,640,47.474576
0.0,640,48.379228
0.0,640,49.259291
0.0,640,50.144131
0.0,640,51.10202
0.0,640,51.986587
0.389687,434,52.588069
0.0,640,53.554916
0.0,640,54.460712
0.0,640,55.330296
0.0,640,56.198219
0.0,640,57.070743
0.0,640,57.93297
0.0,640,58.826589
0.0,640,59.702833
0.0,640,60.635413
0.0,640,61.501381
0.0,640,62.370016
0.0,640,63.229867
0.0,640,64.105618
0.0,640,65.004777
0.0,640,65.869033
0.0,640,66.736669
0.0,640,67.612325
0.0,640,68.482413
0.0,640,69.347525
0.0,640,70.218106
0.0,640,71.125606
0.0,640,72.085141
0.0,640,73.038595
0.0,640,73.919805
0.0,640,74.800878
0.0,640,75.688805
0.0,640,76.56005
0.0,640,77.435054
0.0,640,78.303584
0.0,640,79.175986
0.0,640,80.070868
0.0,640,80.963441
0.0,640,81.844125
0.0,640,82.716525
0.0,640,83.585316
0.0,640,84.454151
0.0,640,85.387613
0.0,640,86.267782
0.0,640,87.147569
0.0,640,88.021685
0.0,640,88.89687
0.0,640,89.767412
0.0,640,90.654943
0.0,640,91.530331
0.0,640,92.418174
0.0,640,93.298503
0.0,640,94.182945
0.0,640,95.055428
0.0,640,95.938012
0.0,640,96.818596
0.0,640,97.701533
0.0,640,98.576883
0.0,640,99.461108
0.0,640,100.332988
0.0,640,101.207568
0.0,640,102.088977
0.0,640,102.980535
0.0,640,103.856143
0.0,640,104.74133
0.0,640,105.626678
0.0,640,106.506141
0.0,640,107.415147
0.0,640,108.291889
0.0,640,109.224338
0.0,640,110.115247
0.0,640,110.986588
0.0,640,111.862674
0.0,640,112.738641
0.0,640,113.618466
0.0,640,114.497561
0.0,640,115.378031
0.0,640,116.258297
0.0,640,117.189103
0.0,640,118.06444
0.0,640,118.936994
0.0,640,119.812078
0.0,640,120.707911
0.0,640,121.588548
0.0,640,122.481155
0.0,640,123.362193
0.0,640,124.356126
0.0,640,125.297949
0.0,640,126.203302
0.0,640,127.113543
0.0,640,128.043334
0.0,640,128.92807
0.0,640,129.839934
0.0,640,130.754226
0.0,640,131.645203
0.0,640,132.592381
0.0,640,133.506623
0.0,640,134.394031
0.0,640,135.272349
0.0,640,136.16042
0.0,640,137.090076
0.0,640,137.96816
0.0,640,138.850419
0.0,640,139.771427
0.0,640,140.654069
0.0,640,141.530459
0.0,640,142.491643
0.0,640,143.37172
0.0,640,144.262407
0.0,640,145.174477
0.0,640,146.085931
0.0,640,146.978553
0.0,640,147.878773
0.0,640,148.758238
0.0,640,149.656736
0.0,640,150.547091
0.0,640,151.418498
0.0,640,152.298152
0.0,640,153.182915
0.0,640,154.060058
0.0,640,154.984891
0.0,640,156.009383
0.0,640,157.13306
0.0,640,158.132755
0.0,640,159.165186
0.0,640,160.193124
0.0,640,161.146633
0.0,640,162.03522
0.0,640,162.919595
0.0,640,163.801888
0.0,640,164.687874
0.0,640,165.567792
0.0,640,166.445951
0.0,640,167.317793
0.0,640,168.196226
0.0,640,169.073778
0.0,640,169.984314
0.0,640,170.855568
0.0,640,171.735898
0.0,640,172.611952
0.0,640,173.485348
0.0,640,174.364112
0.0,640,175.250424
0.0,640,176.337048
0.0,640,177.338215
0.0,640,178.216763
0.0,640,179.102973
0.0,640,179.987248
0.0,640,180.858976
0.0,640,181.73019
0.0,640,182.613167
0.0,640,183.492749
0.0,640,184.5186
0.0,640,185.52521
0.0,640,186.438504
0.0,640,187.330483
0.0,640,188.226587
0.0,640,189.113242
0.0,640,190.016962
0.0,640,190.888387
0.0,640,191.781033
0.0,640,192.663903
0.0,640,193.549365
0.0,640,194.422047
0.0,640,195.313715
0.0,640,196.190861
0.0,640,197.071501
0.0,640,197.943007
0.0,640,198.820952
0.0,640,199.699863
0.0,640,200.580092
0.0,640,201.457853
0.0,640,202.327684
0.0,640,203.201743
0.0,640,204.078715
0.0,640,204.972682
0.0,640,205.872169
0.0,640,206.746548
0.0,640,207.62347
0.0,640,208.496762
0.0,640,209.373014
0.0,640,210.246809
0.0,640,211.17084
0.0,640,212.04667
0.0,640,212.911899
0.0,640,213.798508
0.0,640,214.686371
0.0,640,215.562715
0.0,640,216.438219
0.0,640,217.310742
0.0,640,218.188959
0.0,640,219.06137
0.0,640,219.95713
0.0,640,220.828937
0.0,640,221.707907
0.0,640,222.578168
0.0,640,223.4554
0.0,640,224.328507
0.0,640,225.20494
0.0,640,226.077269
0.0,640,226.943858
0.0,640,227.818746
0.0,640,228.700289
0.0,640,229.573951
0.0,640,230.484106
0.0,640,231.355824
0.0,640,232.241117
0.0,640,233.113787
0.0,640,233.985856
0.0,640,234.854306
0.0,640,235.732607
0.0,640,236.604826
0.0,640,237.474379
0.0,640,238.3461
0.0,640,239.226759
0.0,640,240.106302
0.0,640,240.980187
0.0,640,241.850725
0.0,640,242.77075
0.0,640,243.640861
0.0,640,244.512398
0.0,640,245.38553
0.0,640,246.259016
0.0,640,247.133759
0.0,640,248.010458
0.0,640,248.873673
0.0,640,249.765197
0.0,640,250.638262
0.0,640,251.506601
0.0,640,252.392193
0.0,640,253.273248
0.0,640,254.143663
0.0,640,255.016137
0.0,640,255.88772
0.0,640,256.767897
0.0,640,257.641219
0.0,640,258.512357
0.0,640,259.384755
0.0,640,260.269038
0.0,640,261.140017
0.0,640,262.022248
0.0,640,262.892445
0.0,640,263.771896
0.0,640,264.641649
0.0,640,265.548428
0.0,640,266.421292
0.0,640,267.304689
0.0,640,268.177399
0.0,640,269.048828
0.0,640,269.926882
0.0,640,270.805918
0.0,640,271.726628
0.0,640,272.595808
0.0,640,273.466313
0.0,640,274.346136
0.0,640,275.219129
0.0,640,276.086405
0.0,640,276.957495
0.0,640,277.83483
0.0,640,278.707701
0.0,640,279.581386
0.0,640,280.472909
0.0,640,281.350251
0.0,640,282.222949
0.0,640,283.099918
0.0,640,283.964855
0.0,640,284.839342
0.0,640,285.713234
0.0,640,286.578454
0.0,640,287.451152
0.0,640,288.327786
0.0,640,289.198105
0.0,640,290.077048
0.0,640,290.942324
0.0,640,291.815724
0.0,640,292.68704
0.0,640,293.554662
0.0,640,294.422041
0.0,640,295.302699
0.0,640,296.175769
0.0,640,297.044292
0.0,640,297.911891
0.0,640,298.830322
0.0,640,299.706387
0.0,640,300.591769
0.0,640,301.476754
0.0,640,302.363925
0.0,640,303.239838
0.0,640,304.113114
0.0,640,304.983831
0.0,640,305.860585
0.0,640,306.736289
0.0,640,307.606477
0.0,640,308.483309
0.0,640,309.360817
0.0,640,310.254804
0.0,640,311.128316
0.0,640,312.002066
0.0,640,312.888326
0.0,640,313.765981
0.0,640,314.638585
0.0,640,315.510249
0.0,640,316.388841
0.0,640,317.259841
0.0,640,318.132899
0.0,640,319.004452
0.0,640,319.882256
0.0,640,320.755508
0.0,640,321.631048
0.0,640,322.501334
0.0,640,323.419775
0.0,640,324.295511
0.0,640,325.209422
0.0,640,326.085448
0.0,640,326.96456
0.0,640,327.837227
0.0,640,328.708485
0.0,640,329.582464
0.0,640,330.470886
0.0,640,331.345581
0.0,640,332.21415
0.0,640,333.084564
0.0,640,333.977097
0.0,640,334.846895
0.0,640,335.718961
0.0,640,336.592033
0.0,640,337.468279
0.0,640,338.372424
0.0,640,339.253375
0.0,640,340.141857
0.0,640,341.025746
0.0,640,341.895759
0.0,640,342.770751
0.0,640,343.642788
0.0,640,344.519093
0.0,640,345.39551
0.0,640,346.272253
0.0,640,347.142908
0.0,640,348.061858
0.0,640,348.931965
0.0,640,349.807597
0.0,640,350.682867
0.0,640,351.558623
0.0,640,352.433178
0.0,640,353.310178
0.0,640,354.182472
0.0,640,355.063989
0.0,640,355.9397
0.0,640,356.812265
0.0,640,357.686816
0.0,640,358.561336
0.0,640,359.432788
0.0,640,360.312652
0.0,640,361.182607
0.0,640,362.06197
0.0,640,362.928372
0.0,640,363.801387
0.0,640,364.674735
0.0,640,365.55457
0.0,640,366.423834
0.0,640,367.295456
0.0,640,368.166259
0.0,640,369.049629
0.0,640,369.927047
0.0,640,370.817662
0.0,640,371.691745
0.0,640,372.621174
0.0,640,373.498628
0.0,640,374.373284
0.0,640,375.244976
0.0,640,376.120281
0.0,640,376.99593
0.0,640,377.866806
0.0,640,378.730509
0.0,640,379.609073
0.0,640,380.486295
0.0,640,381.362862
0.0,640,382.229777
0.0,640,383.104288
0.0,640,383.975558
0.0,640,384.848694
0.0,640,385.751785
0.0,640,386.632138
0.0,640,387.505862
0.0,640,388.375826
0.0,640,389.246186
0.0,640,390.119682
0.0,640,391.000248
0.0,640,391.87681
0.0,640,392.745282
0.0,640,393.671501
0.0,640,394.548128
0.0,640,395.420659
0.0,640,396.293698
0.0,640,397.168229
0.0,640,398.039311
0.0,640,398.910246
0.0,640,399.785215
0.0,640,400.685194
0.0,640,401.56428
0.0,640,402.435899
0.0,640,403.312062
0.0,640,404.190464
0.0,640,405.063199
0.0,640,405.936004
0.0,640,406.810032
0.0,640,407.684438
0.0,640,408.559108
0.0,640,409.426645
0.0,640,410.305008
0.0,640,411.185032
0.0,640,412.057461
0.0,640,412.923175
0.0,640,413.791492
0.0,640,414.710627
