#{"t_start": 1765869496.213823, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0.0,640,0.083742
0.0,640,0.520547
0.0,640,1.497633
0.0,640,2.412445
0.0,640,3.321599
0.0,640,4.236908
0.0,640,5.164769
0.0,640,6.075984
0.0,640,7.010006
0.0,640,7.930471
0.0,640,8.864803
0.0,640,9.791462
0.0,640,10.724685
0.0,640,11.686969
0.0,640,12.630093
0.0,640,13.568441
0.0,640,14.525505
0.0,640,15.464961
0.0,640,16.419612
0.0,640,17.375465
0.0,640,18.332825
0.0,640,19.291918
0.0,640,20.255819
0.0,640,21.215632
0.0,640,22.217847
0.0,640,23.190481
0.0,640,24.157024
0.0,640,25.132326
0.0,640,26.105303
0.0,640,27.081895
0.0,640,28.069434
0.0,640,29.048431
0.0,640,30.039436
0.0,640,31.028221
0.0,640,32.030742
0.0,640,33.029971
0.0,640,34.028981
0.0,640,35.021232
0.0,640,36.027935
0.0,640,37.022341
0.0,640,38.031367
0.0,640,39.041532
0.0,640,40.049933
0.0,640,41.066993
0.0,640,42.082955
0.0,640,43.101687
0.0,640,44.129934
0.0,640,45.146126
0.0,640,46.198145
0.0,640,47.225981
0.0,640,48.247262
0.0,640,49.261943
0.0,640,50.281957
0.0,640,51.303981
0.0,640,52.329573
0.0,640,53.34805
0.0,640,54.35843
0.0,640,55.378131
0.0,640,56.405347
0.0,640,57.419294
0.0,640,58.453155
0.0,640,59.468143
0.0,640,60.487759
0.0,640,61.588765
0.0,640,62.615375
0.0,640,63.63953
0.0,640,64.663827
0.0,640,65.681057
0.0,640,66.684569
0.0,640,67.728488
0.0,640,68.745553
0.0,640,69.759904
0.0,640,70.782773
0.0,640,71.799491
0.0,640,72.814464
0.0,640,73.828155
0.0,640,74.850646
0.0,640,75.885075
0.0,640,76.913434
0.0,640,77.933179
0.0,640,78.967277
0.0,640,79.991017
0.0,640,81.021173
0.0,640,82.038716
0.0,640,83.069112
0.0,640,84.090023
0.0,640,85.114701
0.0,640,86.135772
0.0,640,87.191427
0.0,640,88.218991
0.0,640,89.303278
0.0,640,90.334302
0.0,640,91.73281
0.0,640,92.929269
0.0,640,94.307191
0.0,640,95.627302
0.0,640,96.942087
0.0,640,98.090955
0.0,640,99.299211
0.0,640,100.394096
0.0,640,101.639698
0.0,640,102.794999
0.0,640,103.928154
0.0,640,104.94448
0.0,640,105.937404
0.0,640,107.075882
0.0,640,108.220033
0.0,640,109.297616
0.0,640,110.489501
0.0,640,111.71133
0.0,640,112.883794
0.0,640,113.958663
0.0,640,115.18213
0.0,640,116.254458
0.0,640,117.229052
0.0,640,118.193194
0.0,640,119.219763
0.0,640,120.187095
0.0,640,121.197337
0.0,640,122.166784
0.0,640,123.150244
0.0,640,124.132348
0.0,640,125.115455
0.0,640,126.090626
0.0,640,127.121207
0.0,640,128.093948
0.0,640,129.065078
0.0,640,130.031087
0.0,640,131.00491
0.0,640,131.973554
0.0,640,132.954011
0.0,640,133.91269
0.0,640,134.950987
0.0,640,135.923173
0.0,640,136.889068
0.0,640,137.832516
0.0,640,138.804502
0.0,640,139.762614
0.0,640,140.718967
0.0,640,141.66985
0.0,640,142.687523
0.0,640,143.642385
0.0,640,144.598943
0.0,640,145.546649
0.0,640,146.518051
0.0,640,147.472134
0.0,640,148.421638
0.0,640,149.36605
0.0,640,150.383003
0.0,640,151.33799
0.0,640,152.293786
0.0,640,153.243329
0.0,640,154.235965
0.0,640,155.192905
0.0,640,156.149118
0.0,640,157.105414
0.0,640,158.120965
0.0,640,159.09815
0.0,640,160.050304
0.0,640,161.001218
0.0,640,161.975067
0.0,640,162.927185
0.0,640,163.890991
0.0,640,164.856643
0.0,640,165.875359
0.0,640,166.829928
0.0,640,167.783505
0.0,640,168.73629
0.0,640,169.709871
0.0,640,170.668921
0.0,640,171.628944
0.0,640,172.586401
0.0,640,173.60415
0.0,640,174.560176
0.0,640,175.514609
0.0,640,176.47981
0.0,640,177.447858
0.0,640,178.406655
0.0,640,179.359505
0.0,640,180.318862
0.163281,595,181.311023
0.0,640,182.270986
0.0,640,183.226959
0.0,640,184.181609
0.0,640,185.162464
0.0,640,186.119571
0.0,640,187.084901
0.0,640,188.047696
0.0,640,189.075214
0.0,640,190.029087
0.0,640,190.991371
0.0,640,192.004526
0.0,640,193.166977
0.0,640,194.396955
0.0,640,195.590606
0.0,640,196.701901
0.0,640,197.81823
0.0,640,198.774461
0.0,640,199.734886
0.0,640,200.690846
0.0,640,201.658592
0.0,640,202.624511
0.0,640,203.584013
0.0,640,204.541151
0.0,640,205.554532
0.0,640,206.515738
0.0,640,207.472113
0.0,640,208.424945
0.0,640,209.386566
0.0,640,210.34465
0.0,640,211.299555
0.0,640,212.255316
0.0,640,213.266616
0.0,640,214.215771
0.0,640,215.169379
0.0,640,216.127426
0.0,640,217.090039
0.0,640,218.04167
0.0,640,218.997965
0.0,640,219.952239
0.0,640,220.971135
0.0,640,221.939015
0.0,640,222.893854
0.0,640,223.847825
0.0,640,224.814899
0.0,640,225.772214
0.0,640,226.741516
0.0,640,227.711224
0.0,640,228.756926
0.0,640,229.710489
0.0,640,230.661587
0.0,640,231.609573
0.0,640,232.586584
0.0,640,233.534896
0.0,640,234.482424
0.0,640,235.429998
0.0,640,236.448574
0.0,640,237.4008
0.0,640,238.349916
0.0,640,239.298061
0.0,640,240.262168
0.0,640,241.256743
0.0,640,242.205731
0.0,640,243.156455
0.0,640,244.167032
0.0,640,245.127598
0.0,640,246.084212
0.0,640,247.02995
0.0,640,248.001338
0.0,640,248.949682
0.0,640,249.919384
0.0,640,250.882152
0.0,640,251.903055
0.0,640,252.857062
0.0,640,253.809275
0.0,640,254.763377
0.0,640,255.733526
0.0,640,256.691004
0.0,640,257.658532
0.0,640,258.606416
0.0,640,259.619988
0.0,640,260.578509
0.0,640,261.529407
