#{"t_start": 1765818775.221339, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0.0,640,0.299179
0.0,640,0.551914
0.0,640,0.861857
0.0,640,4.168197
0.0,640,4.408591
0.0,640,4.674851
0.0,640,7.763281
0.0,640,8.021265
0.0,640,8.288937
0.309531,491,11.566747
0.0,640,11.853363
0.0,640,12.140637
0.0,640,12.452723
0.0,640,15.742069
0.0,640,15.983272
0.0,640,16.223593
0.0,640,19.00568
0.0,640,19.256619
0.0,640,19.49861
0.0,640,22.479102
0.0,640,22.72424
0.0,640,23.003348
0.0,640,26.127141
0.0,640,26.383993
0.0,640,26.637561
0.0,640,29.815088
0.0,640,30.065021
0.0,640,30.348025
0.0,640,30.631197
0.0,640,34.018578
0.0,640,34.277247
0.0,640,34.626736
0.0,640,38.303478
0.0,640,38.573846
0.0,640,38.831054
0.0,640,42.023495
0.0,640,42.265299
0.0,640,42.516109
0.0,640,45.289359
0.0,640,45.53246
0.0,640,45.771188
0.0,640,48.745095
0.0,640,48.990524
0.0,640,49.230878
0.0,640,49.470393
0.0,640,53.122054
0.0,640,53.397774
0.0,640,53.660734
0.0,640,56.773343
0.0,640,57.040266
0.0,640,57.290181
0.0,640,60.301527
0.0,640,60.54415
0.0,640,60.783445
0.0,640,63.870885
0.0,640,64.114715
0.0,640,64.353067
0.0,640,67.502307
0.0,640,67.763204
0.0,640,68.021901
0.0,640,68.264609
0.0,640,71.121008
0.0,640,71.367436
0.0,640,71.618764
0.0,640,74.45748
0.0,640,74.696632
0.0,640,74.959389
0.0,640,77.82385
0.0,640,78.06393
0.0,640,78.313337
0.0,640,81.082725
0.0,640,81.323943
0.0,640,81.563169
0.0,640,84.44693
0.0,640,84.689685
0.0,640,84.929434
0.0,640,85.171552
0.0,640,87.898178
0.0,640,88.145135
0.0,640,88.397259
0.0,640,91.41293
0.0,640,91.658492
0.0,640,91.906024
0.0,640,94.803125
0.0,640,95.039435
0.717344,201,95.114429
0.0,640,95.352347
0.0,640,98.08438
0.452969,389,98.231135
0.0,640,98.483512
0.0,640,101.530225
0.0,640,101.778309
0.0,640,102.026813
0.0,640,102.273168
0.472656,375,105.194871
0.0,640,105.434039
0.0,640,105.684989
0.0,640,108.354017
0.0,640,108.593002
0.0,640,108.830865
0.0,640,111.585819
0.0,640,111.831006
0.0,640,112.070557
0.0,640,112.319385
0.0,640,115.106681
0.0,640,115.346817
0.0,640,115.586914
0.0,640,118.678692
0.0,640,118.92507
0.0,640,119.172642
0.0,640,122.100461
0.0,640,122.341332
0.0,640,122.5798
0.0,640,125.451945
0.0,640,125.690007
