#{"t_start": 1765822912.8212109, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0.406562,422,0.198965
0.0,640,0.456784
0.0,640,0.709012
0.0,640,3.631966
0.0,640,3.885555
0.0,640,4.133679
0.0,640,6.89939
0.0,640,7.151889
0.0,640,7.401288
0.0,640,10.150849
0.0,640,10.401013
0.197031,571,10.62756
0.0,640,10.87923
0.0,640,13.717148
0.0,640,13.971
0.0,640,14.221523
0.0,640,16.982479
0.0,640,17.233411
0.0,640,17.482669
0.0,640,20.265096
0.534531,331,20.394672
0.0,640,20.644441
0.0,640,20.896061
0.0,640,23.69182
0.0,640,23.942664
0.0,640,24.192273
0.0,640,26.953463
0.0,640,27.205951
0.0,640,27.459183
0.0,640,30.128295
0.0,640,30.381647
0.0,640,30.634314
0.0,640,33.389691
0.812969,133,33.442386
0.0,640,33.695132
0.0,640,33.948283
0.104219,637,36.695383
0.0,640,36.948528
0.0,640,37.199798
0.0,640,37.45124
0.0,640,40.212245
0.0,640,40.460149
0.483906,367,40.602347
0.264531,523,43.249839
0.0,640,43.496907
0.0,640,43.745072
0.0,640,43.996974
0.663906,239,46.60404
0.0,640,46.858309
0.0,640,47.106883
0.0,640,49.864256
0.0,640,50.112903
0.0,640,50.362576
0.407969,421,50.526304
0.0,640,53.324113
0.0,640,53.575414
0.0,640,53.829788
0.0,640,56.567038
0.0,640,56.821844
0.0,640,57.073525
0.0,640,59.901097
0.0,640,60.15607
0.0,640,60.40915
0.0,640,60.657154
0.0,640,63.31362
0.0,640,63.564434
0.0,640,63.815958
0.0,640,66.5838
0.0,640,66.840001
0.0,640,67.089976
0.0,640,69.819988
0.0,640,70.069597
0.305312,494,70.262966
0.0,640,73.053658
0.5725,304,73.174817
0.0,640,73.4226
0.423438,410,73.583279
0.0,640,73.834331
0.0,640,76.529642
0.287031,507,76.729836
0.0,640,76.985185
0.0,640,79.665752
0.0,640,79.9178
0.0,640,80.169026
0.0,640,82.919828
0.0,640,83.172113
0.0,640,83.431396
0.0,640,86.169844
0.908594,65,86.196096
0.794687,146,86.253406
0.337656,471,86.438648
0.0,640,86.686953
0.0,640,89.401358
0.0,640,89.654648
0.0,640,89.90562
0.0,640,90.153594
0.0,640,92.934833
0.488125,364,93.080707
0.152031,603,93.318534
0.600625,284,93.429815
0.0,640,96.166674
0.0,640,96.416979
0.0,640,96.67844
0.0,640,99.424181
0.0,640,99.675619
0.0,640,99.928024
0.0,640,102.628318
0.0,640,102.881336
0.0,640,103.136823
0.0,640,103.38708
0.182969,581,106.131682
0.78625,152,106.191194
0.0,640,106.443265
0.0,640,106.695501
0.534531,331,109.290657
0.55,320,109.414602
0.462812,382,109.566036
0.0,640,109.820511
0.620313,270,109.92699
0.739844,185,112.5211
0.0,640,112.775891
0.0,640,113.033482
0.0,640,113.284327
0.689219,221,115.855928
0.0,640,116.106892
0.860781,99,116.145662
0.790469,149,116.204288
0.955,32,116.216895
0.0,640,116.468237
0.0,640,119.257859
0.0,640,119.510929
0.807344,137,119.565287
0.0,640,119.81645
0.0,640,122.556319
0.872031,91,122.591638
0.483906,367,122.735412
0.841094,113,122.781851
0.517656,343,122.91815
0.0,640,123.167763
0.334844,473,125.845669
0.0,640,126.099432
0.0,640,126.349741
0.78625,152,126.409678
0.0,640,129.122405
0.739844,185,129.194921
0.6175,272,129.301563
0.735625,188,129.374321
0.0,640,129.624568
0.0,640,132.333959
0.886094,81,132.366398
0.0,640,132.618946
0.114062,630,132.867184
0.812969,133,132.919952
0.693437,218,133.005174
0.219531,555,135.703139
0.925469,53,135.724139
0.0,640,135.979141
0.0,640,136.232869
0.472656,375,138.85063
0.905781,67,138.877248
0.62875,264,138.980393
0.969063,22,138.989023
0.839688,114,139.033146
0.933906,47,139.052019
0.0,640,139.304056
0.829844,121,139.352459
0.554219,317,139.4759
0.738437,186,139.548279
0.890313,78,139.578849
0.0,640,142.279445
0.720156,199,142.358507
0.890313,78,142.389334
0.530312,334,142.520267
0.835469,117,142.566856
0.929688,50,142.58638
0.888906,79,142.617217
0.976094,17,142.623829
0.947969,37,142.638218
0.725781,195,142.713826
0.964844,25,142.723577
0.855156,103,142.764088
0.810156,135,142.8169
0.938125,44,142.834135
0.0,640,145.541461
0.545781,323,145.668952
0.884687,82,145.701713
0.836875,116,145.747042
0.389687,434,145.919799
0.475469,373,146.067124
0.0,640,148.835411
0.924063,54,148.856846
0.540156,327,148.985961
0.870625,92,149.022199
0.791875,148,149.080054
0.879062,86,149.113577
0.755313,174,149.183176
0.803125,140,149.238196
0.825625,124,149.287214
0.835469,117,149.333539
0.929688,50,149.352848
0.974688,18,149.35988
0.957812,30,149.371527
0.821406,127,149.421121
0.863594,97,149.459015
0.907188,66,151.89929
0.901563,70,151.927831
0.957812,30,151.939936
0.91,64,151.965346
0.955,32,151.977915
0.850938,106,152.018993
0.952187,34,152.032568
0.905781,67,152.058808
0.929688,50,152.078502
0.869219,93,152.115094
0.676562,230,152.204648
0.904375,68,152.231625
0.859375,100,152.270617
0.919844,57,152.292815
0.955,32,152.305272
0.926875,52,152.325791
0.967656,23,152.334841
0.929688,50,152.354549
0.935312,46,152.372573
0.0,640,152.624463
0.886094,81,152.655846
0.959219,29,152.667292
0.925469,53,152.68798
0.96625,24,155.132908
0.9325,48,155.152825
0.947969,37,155.167631
0.949375,36,155.181814
0.783438,154,155.241861
0.742656,183,155.314246
0.908594,65,155.339749
0.9325,48,155.358499
0.836875,116,155.403999
0.74125,184,155.476228
0.866406,95,155.513796
0.953594,33,155.526835
0.946562,38,155.541668
0.886094,81,155.573257
0.888906,79,155.603709
0.971875,20,155.611447
0.935312,46,155.62945
0.890313,78,155.660667
0.811562,134,155.713438
0.836875,116,155.760345
0.917031,59,155.78389
0.924063,54,155.805184
0.894531,75,155.834581
0.769375,164,155.897711
0.946562,38,155.912757
0.960625,28,155.923798
0.784844,153,158.480737
0.940937,42,158.497152
0.904375,68,158.524124
0.94375,40,158.540046
0.936719,45,158.557886
0.964844,25,158.567627
0.917031,59,158.590893
0.873437,90,158.626713
0.901563,70,158.65432
0.877656,87,158.688105
0.789062,150,158.745805
0.908594,65,158.77281
0.957812,30,158.784915
0.955,32,158.797642
0.905781,67,158.823982
0.886094,81,158.855967
0.8875,80,158.887384
0.981719,13,158.892529
0.89875,72,158.920654
0.949375,36,158.934917
0.839688,114,158.97879
0.185781,579,159.206033
0.945156,39,159.221338
0.950781,35,159.235327
0.879062,86,161.755482
0.922656,55,161.777458
0.87625,88,161.812551
0.0,640,162.063718
0.579531,299,162.182567
