#{"t_start": 1765806067.186033, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,0.094692
0.0,250,0.180873
0.0,250,0.272751
0.0,250,0.357934
0.0,250,0.441512
0.0,250,0.525932
0.0,250,0.609687
0.0,250,0.693338
0.0,250,3.028207
0.0,250,3.114517
0.0,250,3.201449
0.0,250,3.28649
0.0,250,3.371367
0.0,250,3.462133
0.0,250,3.554732
0.0,250,3.645877
0.0,250,6.068271
0.0,250,6.160586
0.0,250,6.255284
0.0,250,6.348975
0.0,250,6.446614
0.0,250,6.54583
0.0,250,6.638624
0.0,250,6.72359
0.0,250,9.115267
0.0,250,9.202405
0.0,250,9.287563
0.0,250,9.37252
0.0,250,9.456856
0.0,250,9.541585
0.0,250,9.626734
0.0,250,9.71192
0.0,250,12.04974
0.0,250,12.136703
0.0,250,12.222729
0.0,250,12.307455
0.0,250,12.392143
0.0,250,12.476492
0.0,250,12.560637
0.0,250,12.645099
0.0,250,15.020107
0.0,250,15.105263
0.0,250,15.191749
0.0,250,15.27749
0.0,250,15.362046
0.0,250,15.4469
0.0,250,15.531532
0.0,250,15.616539
0.0,250,15.701231
0.0,250,18.005194
0.0,250,18.089725
0.0,250,18.176611
0.0,250,18.260913
0.0,250,18.345024
0.0,250,18.429646
0.0,250,18.51417
0.0,250,18.598293
0.0,250,20.922429
0.0,250,21.008281
0.0,250,21.092598
0.0,250,21.178759
0.0,250,21.262869
0.0,250,21.347761
0.0,250,21.432097
0.0,250,21.516122
0.0,250,23.845685
0.0,250,23.930756
0.0,250,24.015147
0.0,250,24.099462
0.0,250,24.186296
0.0,250,24.270253
0.0,250,24.354096
0.0,250,24.438161
0.1576,234,26.76234
0.0,250,26.8478
0.0,250,26.933098
0.0,250,27.019525
0.0,250,27.105457
0.0,250,27.196264
0.0,250,27.288746
0.0,250,27.373783
0.0,250,29.962443
0.0,250,30.051939
0.0,250,30.144113
0.0,250,30.256369
0.0,250,30.369364
0.0,250,30.46742
0.0,250,30.571823
0.0,250,30.676989
0.0,250,30.779466
0.0,250,33.382761
0.0,250,33.468264
0.0,250,33.553449
0.0,250,33.638869
0.0,250,33.723907
0.0,250,33.808785
0.0,250,33.894024
0.0,250,33.978111
0.0,250,36.300609
0.0,250,36.386054
0.0,250,36.470736
0.0,250,36.55556
0.0,250,36.639827
0.0,250,36.724771
0.0,250,36.809509
0.0,250,36.893919
0.0,250,39.225151
0.0,250,39.310768
0.0,250,39.394894
0.0,250,39.480007
0.0,250,39.56499
0.0,250,39.650198
0.0,250,39.734901
0.0,250,39.819527
0.0,250,42.173255
0.0,250,42.258705
0.0,250,42.343196
0.0,250,42.428327
0.0,250,42.513152
0.0,250,42.597958
0.0,250,42.682933
0.0,250,42.768237
0.0,250,45.104509
0.0,250,45.192037
0.0,250,45.276812
0.0,250,45.362237
0.0,250,45.446559
0.0,250,45.531157
0.0,250,45.61587
0.0,250,45.700357
0.0,250,45.785383
0.0,250,48.119381
0.0,250,48.206364
0.0,250,48.291181
0.0,250,48.376323
0.0,250,48.461327
0.0,250,48.54635
0.0,250,48.630614
0.0,250,48.714938
0.0,250,51.012626
0.0,250,51.099727
0.0,250,51.185708
0.0,250,51.270335
0.0,250,51.355025
0.0,250,51.439603
0.0,250,51.524645
0.0,250,51.608523
0.0,250,53.934114
0.0,250,54.019622
0.0,250,54.104186
0.0,250,54.190105
0.0,250,54.274186
0.0,250,54.358529
0.0,250,54.443024
0.0,250,54.526697
0.0,250,56.865595
0.0,250,56.950529
0.0,250,57.035193
0.0,250,57.119581
0.0,250,57.2061
0.0,250,57.290656
0.0,250,57.374901
0.0,250,57.458872
0.0,250,59.810235
0.0,250,59.899675
0.0,250,59.990384
0.0,250,60.075613
0.0,250,60.161461
0.0,250,60.245842
0.0,250,60.329686
0.0,250,60.414302
0.0,250,60.49817
0.0,250,62.829981
0.0,250,62.91502
0.0,250,62.999287
0.0,250,63.0837
0.0,250,63.169803
0.0,250,63.254572
0.0,250,63.339025
0.0,250,63.425467
0.0,250,65.740805
0.0,250,65.825632
0.0,250,65.91028
0.0,250,65.994706
0.0,250,66.079175
0.0,250,66.1647
0.0,250,66.249142
0.0,250,66.33333
0.0,250,68.674647
0.0,250,68.760004
0.0,250,68.844557
0.0,250,68.929246
0.0,250,69.01355
0.0,250,69.098089
0.0,250,69.184084
