#{"t_start": 1765806367.375224, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,0.098031
0.0,250,0.185803
0.0,250,0.273725
0.478,145,0.325034
0.0,250,0.412232
0.4708,147,0.463816
0.0,250,0.550599
0.0,250,0.638303
0.0,250,0.72597
0.0,250,3.034819
0.0,250,3.123612
0.0,250,3.212512
0.0,250,3.299667
0.0,250,3.388215
0.0,250,3.474996
0.0,250,3.562917
0.0,250,3.650182
0.0,250,6.031766
0.0,250,6.133465
0.6904,86,6.169265
0.352,180,6.243798
0.1216,244,6.330294
0.0,250,6.421409
0.0,250,6.580545
0.0,250,6.682601
0.0,250,6.78812
0.7696,64,6.827397
0.0,250,9.597642
0.0,250,9.689058
0.0,250,9.783776
0.0,250,9.873584
0.0,250,9.963157
0.0,250,10.058753
0.4564,151,10.112718
0.7228,77,10.139886
0.0,250,10.228307
0.0,250,12.691387
0.0,250,12.780644
0.0,250,12.868662
0.0,250,12.957803
0.0,250,13.046357
0.0,250,13.135039
0.0,250,13.223866
0.0,250,13.315557
0.1288,242,15.865812
0.0,250,15.955383
0.0,250,16.045451
0.5284,131,16.094755
0.0,250,16.184766
0.118,245,16.271768
0.0,250,16.365245
0.0,250,16.460595
0.0,250,16.552892
0.0,250,19.096942
0.0,250,19.189258
0.2368,212,19.263743
0.1684,231,19.345504
0.0,250,19.433226
0.0,250,19.520493
0.0,250,19.608685
0.0,250,19.697044
0.0,250,22.208867
0.3088,192,22.277509
0.0,250,22.365131
0.0,250,22.452963
0.0,250,22.540831
0.3556,179,22.604473
0.0,250,22.690749
0.0,250,22.778
0.0,250,22.866059
0.0,250,25.247169
0.0,250,25.335007
0.766,65,25.358378
0.0,250,25.446169
0.352,180,25.509881
0.2368,212,25.584607
0.0,250,25.67238
0.0,250,25.759951
0.0,250,25.847432
0.0,250,28.34443
0.0,250,28.44707
0.0,250,28.536045
0.0,250,28.62392
0.0,250,28.711715
0.0,250,28.805168
0.0,250,28.89357
0.1864,226,28.975212
0.2404,211,29.049467
0.6688,92,31.535475
0.0,250,31.624425
0.0,250,31.712888
0.7084,81,31.742413
0.1,250,31.830889
0.0,250,31.918903
0.1072,248,32.007935
0.766,65,32.03107
0.4492,153,32.087548
0.0,250,32.183001
0.2764,201,32.261059
0.5896,114,34.802558
0.0,250,34.909644
0.0,250,35.001172
0.0,250,35.101846
0.406,165,35.161398
0.0,250,35.253362
0.3772,173,35.317962
0.0,250,35.406318
0.0,250,35.494829
0.766,65,35.517411
0.6292,103,38.12509
0.6508,97,38.160399
0.5464,126,38.20601
0.0,250,38.293878
0.7048,82,38.323074
0.5428,127,38.367987
0.3376,184,38.43304
0.5968,112,38.472581
0.0,250,38.560653
0.0,250,38.64975
0.1,250,38.739637
