#{"t_start": 1765794352.141351, "env_id": "MiniGrid-Empty-8x8-v0"}
r,l,t
0.0,256,0.098633
0.0,256,0.187014
0.609766,111,0.225154
0.0,256,0.312163
0.0,256,0.404562
0.0,256,0.537417
0.0,256,0.628407
0.0,256,0.722167
0.571094,122,0.765766
0.0,256,3.654895
0.0,256,3.790112
0.0,256,3.880734
0.0,256,3.97303
0.0,256,4.062807
0.0,256,4.151019
0.0,256,4.241574
0.0,256,4.332264
0.282813,204,7.175698
0.0,256,7.270477
0.0,256,7.397919
0.0,256,7.491665
0.486719,146,7.542204
0.0,256,7.632298
0.426953,163,7.692922
0.0,256,7.786336
0.0,256,7.879766
0.0,256,10.478322
0.103516,255,10.577518
0.578125,120,10.619775
0.0,256,10.710427
0.0,256,10.804178
0.0,256,10.893531
0.0,256,10.981989
0.0,256,11.069039
0.0,256,13.645604
0.641406,102,13.684154
0.0,256,13.774098
0.0,256,13.863869
0.0,256,13.952002
0.0,256,14.040433
0.391797,173,14.100167
0.0,256,14.187746
0.103516,255,14.276143
0.697656,86,14.306483
0.680078,91,17.023796
0.194922,229,17.106392
0.0,256,17.199063
0.0,256,17.290266
0.0,256,17.381263
0.114062,252,17.470563
0.0,256,17.565329
0.258203,211,17.647922
0.666016,95,17.683752
0.254687,212,20.212116
0.0,256,20.299318
0.370703,179,20.359813
0.483203,147,20.40925
0.0,256,20.495763
0.0,256,20.582451
0.0,256,20.667184
0.0,256,20.752784
0.469141,151,20.805894
0.0,256,20.895655
0.0,256,23.44284
0.859375,40,23.458227
0.0,256,23.563377
0.0,256,23.661761
0.796094,58,23.684028
0.0,256,23.786761
0.687109,89,23.820454
0.0,256,23.909941
0.0,256,23.997267
0.240625,216,24.074112
0.669531,94,24.105909
0.0,256,26.8711
0.433984,161,26.930071
0.0,256,27.021099
0.205469,226,27.100573
0.409375,168,27.160563
0.124609,249,27.25605
0.205469,226,27.340871
0.690625,88,27.373
0.370703,179,27.439486
0.771484,65,27.462312
0.244141,215,29.881946
0.736328,75,29.907822
0.919141,23,29.915521
0.680078,91,29.946075
0.0,256,30.032441
0.623828,107,30.06852
0.789062,60,30.088272
0.83125,48,30.10397
0.630859,105,30.138551
0.764453,67,30.161076
0.623828,107,30.197258
0.848828,43,30.211622
0.395312,172,30.269209
0.244141,215,30.341
0.940234,17,30.346697
0.0,256,30.431787
0.901563,28,30.441117
0.680078,91,30.471241
0.0,256,30.557166
0.0,256,33.056375
0.848828,43,33.0708
0.476172,149,33.122423
0.124609,249,33.208383
0.353125,184,33.272267
0.328516,191,33.407298
0.894531,30,33.42134
0.581641,119,33.476043
0.936719,18,33.485025
0.658984,97,33.526825
0.490234,145,33.589067
0.810156,54,33.611115
0.282813,204,33.691898
0.926172,21,33.700399
0.0,256,33.80385
0.0,256,36.228939
0.866406,38,36.24214
0.810156,54,36.259789
0.310937,196,36.409571
0.824219,50,36.444397
0.0,256,36.534186
0.848828,43,36.549177
0.778516,63,36.570231
0.866406,38,36.583471
0.922656,22,36.591035
0.0,256,36.678323
0.469141,151,36.735078
0.743359,73,36.762902
0.894531,30,36.77536
0.880469,34,36.789166
0.883984,33,36.802076
0.353125,184,36.871929
0.360156,182,36.938063
0.876953,35,36.951327
0.458594,154,39.609331
0.929688,20,39.616611
0.785547,61,39.638185
0.546484,129,39.684764
0.310937,196,39.758447
0.469141,151,39.819219
0.841797,45,39.836504
0.0,256,39.931445
0.687109,89,39.961494
0.750391,71,39.984922
0.926172,21,39.991843
0.676562,92,40.022559
0.251172,213,40.094076
0.676562,92,40.12468
0.841797,45,40.139561
0.332031,190,40.203424
0.687109,89,40.233146
0.0,256,42.583824
0.922656,22,42.591891
0.564062,124,42.634227
0.824219,50,42.650622
0.648438,100,42.683174
0.915625,24,42.691147
0.922656,22,42.69851
0.883984,33,42.709351
0.711719,82,42.736816
0.426953,163,42.793437
0.0,256,42.881122
0.915625,24,42.889318
0.894531,30,42.899091
0.384766,175,42.957074
0.247656,214,43.029895
0.950781,14,43.034582
0.564062,124,43.075646
0.905078,27,43.084519
0.820703,51,43.101363
0.208984,225,43.176734
0.905078,27,43.185546
0.859375,40,43.198641
0.0,256,45.697615
0.0,256,45.791452
0.725781,78,45.819531
0.247656,214,45.899744
0.883984,33,45.911369
0.486719,146,45.965326
0.901563,28,45.975395
0.950781,14,45.980504
0.648438,100,46.019923
0.933203,19,46.026869
0.926172,21,46.034994
0.655469,98,46.070052
0.940234,17,46.075749
0.265234,209,46.144879
0.0,256,46.264796
0.462109,153,46.322501
0.83125,48,46.340383
0.936719,18,46.346942
0.898047,29,46.360241
0.0,256,46.464033
0.947266,15,49.064774
0.205469,226,49.151271
0.736328,75,49.177534
0.929688,20,49.184928
0.922656,22,49.192791
0.915625,24,49.201472
0.8875,32,49.212766
0.6625,96,49.249322
0.303906,198,49.317584
0.94375,16,49.322971
0.957812,12,49.326995
0.310937,196,49.393056
0.775,64,49.414481
0.578125,120,49.455099
0.233594,218,49.528599
0.546484,129,49.571263
0.83125,48,49.587554
0.753906,70,49.611491
0.451562,156,49.667257
0.820703,51,49.685535
0.658984,97,49.71964
0.511328,139,49.768621
0.950781,14,49.773435
0.641406,102,52.346307
0.789062,60,52.368875
0.862891,39,52.382891
0.873437,36,52.396168
0.789062,60,52.417514
0.891016,31,52.428409
0.799609,57,52.448139
0.947266,15,52.453607
0.933203,19,52.460154
0.855859,41,52.47458
0.919141,23,52.482753
0.1,256,52.575001
0.687109,89,52.607051
0.535937,132,52.656072
0.767969,66,52.67919
0.760938,68,52.710009
0.898047,29,52.723675
0.476172,149,52.790372
0.637891,103,52.824772
0.894531,30,52.834741
0.83125,48,52.850873
0.901563,28,52.860297
0.866406,38,52.8732
0.883984,33,52.884601
0.750391,71,52.909926
0.553516,127,52.954736
0.94375,16,52.960397
0.859375,40,52.974292
0.936719,18,52.981251
0.683594,90,53.013746
0.929688,20,53.020857
0.581641,119,53.065139
0.497266,143,55.645344
0.806641,55,55.663714
0.806641,55,55.682417
0.697656,86,55.711468
0.933203,19,55.717711
0.546484,129,55.761872
0.782031,62,55.783304
0.637891,103,55.81836
0.701172,85,55.847129
0.767969,66,55.868731
0.869922,37,55.880876
0.694141,87,55.91008
0.697656,86,55.939266
0.908594,26,55.958594
0.655469,98,56.002279
0.620313,108,56.040348
0.810156,54,56.059883
0.873437,36,56.072434
0.796094,58,56.094193
0.476172,149,56.153859
0.961328,11,56.158234
0.950781,14,56.164331
0.961328,11,56.168762
0.743359,73,56.197659
0.824219,50,56.216594
0.94375,16,56.222696
0.862891,39,56.23723
0.694141,87,56.27949
0.915625,24,56.289652
0.908594,26,56.299886
0.876953,35,56.314325
0.919141,23,56.323325
0.940234,17,56.330053
0.346094,186,59.091276
0.8875,32,59.104316
0.388281,174,59.173908
0.803125,56,59.196422
0.94375,16,59.204193
0.778516,63,59.241114
0.810156,54,59.264507
0.954297,13,59.27012
0.55,128,59.322439
0.71875,80,59.354953
0.750391,71,59.381931
0.6625,96,59.414834
0.898047,29,59.424306
0.683594,90,59.454383
0.641406,102,59.487956
0.813672,53,59.505353
0.648438,100,59.538078
0.504297,141,59.585706
0.782031,62,59.606549
0.912109,25,59.614749
0.947266,15,59.619766
0.792578,59,59.640096
0.4375,160,59.695216
0.891016,31,59.705978
0.483203,147,59.757247
0.926172,21,59.764956
0.8875,32,59.776166
0.0,256,62.156534
0.929688,20,62.164065
0.715234,81,62.191956
0.873437,36,62.204798
0.595703,115,62.244962
0.6625,96,62.279274
0.908594,26,62.288172
0.240625,216,62.363765
0.711719,82,62.39361
0.0,256,62.485997
0.926172,21,62.493513
0.567578,123,62.536399
0.950781,14,62.541265
0.767969,66,62.564097
0.806641,55,62.583943
0.827734,49,62.601265
0.834766,47,62.618166
0.483203,147,62.669824
0.83125,48,62.687488
0.908594,26,62.697031
0.954297,13,62.701819
0.824219,50,62.719725
0.599219,114,62.760142
0.883984,33,62.772073
0.922656,22,62.779815
0.933203,19,62.786642
0.546484,129,65.45221
0.919141,23,65.46231
0.936719,18,65.471786
0.915625,24,65.48197
0.838281,46,65.501317
0.634375,104,65.546282
0.782031,62,65.572357
0.929688,20,65.580791
0.560547,125,65.633886
0.855859,41,65.650788
0.504297,141,65.709948
0.848828,43,65.728071
0.384766,175,65.803744
0.926172,21,65.812442
0.374219,178,65.888851
0.947266,15,65.895195
0.841797,45,65.913467
0.947266,15,65.919866
0.848828,43,65.937796
0.528906,134,65.994115
0.817187,52,66.015615
0.620313,108,66.061758
0.757422,69,66.089725
0.753906,70,66.118183
0.560547,125,66.171394
0.926172,21,66.180196
0.957812,12,66.18525
0.817187,52,66.207049
0.891016,31,66.21991
0.926172,21,66.228866
0.792578,59,66.253244
0.961328,11,66.257976
0.883984,33,66.271586
0.532422,133,69.417373
0.936719,18,69.425182
0.792578,59,69.451075
0.532422,133,69.507737
0.855859,41,69.525157
0.676562,92,69.563968
0.458594,154,69.630385
0.729297,77,69.662424
0.799609,57,69.686173
0.810156,54,69.708856
0.936719,18,69.716419
0.655469,98,69.75744
0.950781,14,69.763622
0.954297,13,69.769179
0.244141,215,69.86146
0.0,256,69.969451
0.859375,40,69.986413
0.578125,120,70.036508
0.824219,50,70.056636
0.557031,126,70.110181
0.237109,217,70.268952
0.824219,50,70.289981
0.328516,191,73.43888
0.926172,21,73.449585
0.933203,19,73.459643
0.767969,66,73.493334
0.486719,146,73.564491
0.0,256,73.69758
0.521875,136,73.760541
0.848828,43,73.779456
0.876953,35,73.794572
0.936719,18,73.802268
0.483203,147,73.864879
0.94375,16,73.873214
0.933203,19,73.881611
0.954297,13,73.888033
0.500781,142,73.960792
0.947266,15,73.969132
0.789062,60,73.999677
0.891016,31,74.014992
0.852344,42,74.036167
0.778516,63,74.068566
0.216016,223,74.163944
0.669531,94,74.203398
0.637891,103,74.248405
0.898047,29,74.263126
0.317969,194,74.357319
0.775,64,77.589993
0.789062,60,77.620281
0.922656,22,77.631896
0.933203,19,77.641898
0.919141,23,77.65396
0.94375,16,77.662565
0.806641,55,77.689857
0.915625,24,77.702077
0.940234,17,77.710521
0.476172,149,77.778367
0.0,256,77.894959
0.936719,18,77.903387
0.360156,182,78.009801
0.947266,15,78.016928
0.732812,76,78.054684
0.926172,21,78.064793
0.792578,59,78.094536
0.894531,30,78.108773
0.627344,106,78.165788
0.929688,20,78.1768
0.908594,26,78.189688
0.947266,15,78.196639
0.0,256,78.325049
0.926172,21,78.33452
0.261719,210,78.519159
0.55,128,78.576621
0.862891,39,78.596469
0.954297,13,78.60311
