#{"t_start": 1765794733.019504, "env_id": "MiniGrid-Empty-8x8-v0"}
r,l,t
0.7,256,0.122874
0.2,256,0.23756
0.6,256,0.348529
1.627344,106,0.393615
1.497266,143,0.454233
0.0,256,0.566729
0.4,256,0.677612
1.170312,236,0.778522
0.4,256,0.888611
1.194922,229,4.137245
1.49375,144,4.200373
1.110547,253,4.311878
0.2,256,4.425075
1.367188,180,4.505583
0.4,256,4.61554
0.6,256,4.764555
0.8,256,4.877479
0.5,256,8.472167
0.2,256,8.587547
0.8,256,8.701758
0.3,256,8.814386
0.6,256,8.927429
0.7,256,9.064714
0.4,256,9.186084
1.465625,152,9.259889
0.9,256,9.370685
0.7,256,12.509117
1.760937,68,12.539696
1.497266,143,12.603882
1.296875,200,12.691382
0.3,256,12.80369
0.6,256,12.917634
0.7,256,13.029953
1.585156,118,13.081758
0.6,256,13.192903
0.3,256,13.306298
1.813672,53,13.329625
1.237109,217,16.477054
1.405859,169,16.551699
1.458594,154,16.619563
0.6,256,16.732412
0.6,256,16.845388
0.3,256,16.958864
1.546484,129,17.01513
1.817187,52,17.037959
0.3,256,17.152711
1.497266,143,17.215262
1.862891,39,17.232387
1.609766,111,17.281086
0.2,256,20.505283
0.2,256,20.619252
1.687109,89,20.65891
1.813672,53,20.681958
1.560547,125,20.736475
1.760937,68,20.766197
0.4,256,20.878667
1.240625,216,20.975897
0.6,256,21.088554
1.767969,66,21.117997
1.226562,220,21.214828
1.128125,248,24.36674
1.873437,36,24.383023
1.630859,105,24.429458
0.0,256,24.544485
1.595703,115,24.59499
1.796094,58,24.620181
0.0,256,24.733087
1.483203,147,24.798661
1.810156,54,24.82225
1.409375,168,24.897255
0.0,256,25.010196
1.525391,135,25.06994
1.321484,193,25.152489
1.767969,66,25.179017
1.736328,75,25.20989
0.0,256,28.465981
1.525391,135,28.529333
0.1,256,28.646445
1.806641,55,28.674652
1.940234,17,28.683582
1.462109,153,28.773888
0.6,256,28.953478
0.5,256,29.092699
1.666016,95,29.144064
1.869922,37,29.161074
0.5,256,29.288174
0.4,256,29.400977
1.820703,51,29.422306
1.384766,175,32.70163
1.697656,86,32.740394
1.521875,136,32.799886
1.521875,136,32.860745
1.950781,14,32.867118
1.845312,44,32.887151
1.855859,41,32.905034
0.6,256,33.012592
1.940234,17,33.019625
1.683594,90,33.055427
1.883984,33,33.068594
1.880469,34,33.082703
0.3,256,33.18572
1.107031,254,33.288577
1.838281,46,33.306824
0.5,256,33.409848
1.940234,17,33.416905
1.760937,68,33.444109
0.5,256,36.693873
1.504297,141,36.751227
1.708203,83,36.784942
1.919141,23,36.794291
1.813672,53,36.815623
1.669531,94,36.85368
1.813672,53,36.875071
0.9,256,36.980265
1.641406,102,37.021447
1.374219,178,37.094061
1.370703,179,37.168397
0.7,256,37.272443
1.574609,121,37.321694
1.732812,76,37.352002
1.528906,134,37.406342
1.926172,21,37.414658
0.5,256,41.015152
1.332031,190,41.111475
1.71875,80,41.145916
1.201953,227,41.243648
1.451562,156,41.32845
1.908594,26,41.342133
1.926172,21,41.35285
1.803125,56,41.382524
1.947266,15,41.390507
1.532422,133,41.458481
1.919141,23,41.469451
1.15625,240,41.589352
1.725781,78,41.622319
1.71875,80,41.657595
1.778516,63,41.686087
1.746875,72,41.718691
0.0,256,41.8374
1.908594,26,41.849036
1.936719,18,41.8569
0.3,256,45.312064
1.957812,12,45.318634
1.637891,103,45.365193
1.648438,100,45.40806
1.553516,127,45.461891
1.933203,19,45.469794
1.451562,156,45.534241
1.658984,97,45.573986
1.683594,90,45.61102
0.5,256,45.731915
1.191406,230,45.854114
1.216016,223,45.968629
1.557031,126,46.036212
1.732812,76,46.076351
1.391797,173,46.163522
1.736328,75,46.201765
1.936719,18,46.211024
0.4,256,49.906112
0.0,256,50.120627
1.694141,87,50.16085
1.929688,20,50.169747
1.729297,77,50.203376
1.873437,36,50.221304
1.894531,30,50.234476
1.799609,57,50.260245
1.602734,113,50.310988
1.525391,135,50.371228
1.940234,17,50.379001
1.623828,107,50.428688
1.824219,50,50.453577
1.219531,222,50.567099
1.915625,24,50.584607
1.876953,35,50.610635
1.595703,115,50.675923
1.859375,40,50.702361
1.848828,43,50.728642
1.528906,134,50.806137
1.736328,75,50.845179
1.620312,108,50.899998
1.296875,200,53.970786
1.775,64,53.998449
1.834766,47,54.018671
1.743359,73,54.05067
1.862891,39,54.067812
1.796094,58,54.093204
1.862891,39,54.110083
1.841797,45,54.129943
1.926172,21,54.139052
1.360156,182,54.22014
1.891016,31,54.233585
1.532422,133,54.291927
1.859375,40,54.308948
1.669531,94,54.350256
1.216016,223,54.448317
1.782031,62,54.47579
1.314453,195,54.560731
0.5,256,54.67323
1.873437,36,54.688929
1.876953,35,54.703482
1.750391,71,54.733895
1.504297,141,54.794573
1.859375,40,54.812115
1.247656,214,57.94545
1.507812,140,58.007907
1.595703,115,58.060769
1.483203,147,58.123461
1.8875,32,58.137712
1.180859,233,58.238412
1.876953,35,58.253734
1.746875,72,58.28572
1.690625,88,58.32374
1.303906,198,58.410733
1.905078,27,58.422188
1.912109,25,58.433238
1.226562,220,58.530011
1.771484,65,58.559024
1.940234,17,58.56656
1.71875,80,58.601288
1.855859,41,58.619046
1.26875,208,58.711029
1.644922,101,58.755326
1.574609,121,61.798908
1.873437,36,61.815296
1.862891,39,61.832614
1.613281,110,61.881938
1.1,256,61.9974
1.926172,21,62.006729
1.683594,90,62.047063
1.778516,63,62.074632
1.873437,36,62.090609
1.915625,24,62.101079
1.159766,239,62.211591
1.595703,115,62.262442
1.648438,100,62.306504
1.746875,72,62.338001
1.936719,18,62.345901
1.919141,23,62.355926
1.775,64,62.384136
1.743359,73,62.415943
1.947266,15,62.422449
1.307422,197,62.508873
1.627344,106,62.554898
1.813672,53,62.577449
1.912109,25,62.588377
1.412891,167,62.661238
1.852344,42,65.756466
1.750391,71,65.790174
1.898047,29,65.802987
1.929688,20,65.811702
1.729297,77,65.844746
1.166797,237,65.948077
1.866406,38,65.964334
1.669531,94,66.005492
1.866406,38,66.022255
1.947266,15,66.028993
1.898047,29,66.041865
1.560547,125,66.097135
1.581641,119,66.149462
0.5,256,66.262389
1.841797,45,66.282282
1.173828,235,66.385904
1.525391,135,66.445597
1.564062,124,66.499931
1.564062,124,66.562314
1.834766,47,66.582944
1.729297,77,66.616576
1.314453,195,69.898941
0.5,256,70.027127
1.869922,37,70.045199
1.704687,84,70.083859
1.926172,21,70.093161
1.732812,76,70.127573
1.792578,59,70.153535
1.898047,29,70.166572
1.412891,167,70.240306
1.377734,177,70.318964
1.542969,130,70.376538
1.708203,83,70.412686
1.557031,126,70.467635
1.933203,19,70.475842
1.940234,17,70.483229
1.166797,237,70.587078
1.778516,63,70.614918
1.947266,15,70.621518
1.6625,96,70.662569
1.824219,50,70.684503
1.912109,25,70.695134
1.799609,57,70.719744
